image,yara_detected,detected_rules,is_cryptojacking
000wg000/python,True,Detect_TeamRedMiner,True
00313/postgres,True,Detect_TeamRedMiner,True
005293/node,True,Detect_TeamRedMiner,True
00721dev/python,True,Detect_TeamRedMiner,True
0077cc/node,True,Detect_TeamRedMiner,True
007kailan/postgres,True,Detect_TeamRedMiner,True
00abhishek00/drupal,True,Detect_TeamRedMiner,True
007mhh/kibana,True,"Detect_Minerd_Miner,Detect_TeamRedMiner,Detect_bfgminer",True
00sun/centos,True,Detect_TeamRedMiner,True
00bc4f5d/erlang,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_NBMiner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer,Detect_sgminer",True
00x56/jenkins,True,Detect_TeamRedMiner,True
01051994/postgres,True,Detect_TeamRedMiner,True
01141942205/redis,True,Detect_TeamRedMiner,True
011000010110010001101001/node,True,Detect_TeamRedMiner,True
0114mjp/httpd,True,Detect_TeamRedMiner,True
011982/php,True,Detect_TeamRedMiner,True
0123koba/httpd,True,Detect_TeamRedMiner,True
01271434065/centos,True,Detect_TeamRedMiner,True
0123koba/wordpress,True,Detect_TeamRedMiner,True
012345678aar90/python,True,Detect_TeamRedMiner,True
014145118/kong,True,Detect_TeamRedMiner,True
01496264/hello-world,True,Detect_TeamRedMiner,True
0153001530/php,True,Detect_TeamRedMiner,True
01costmo30/httpd,True,Detect_TeamRedMiner,True
01qubit/postgres,True,Detect_TeamRedMiner,True
01969/jenkins,True,Detect_TeamRedMiner,True
01shreeram/nginx,True,Detect_TeamRedMiner,True
020107/postgres,True,Detect_TeamRedMiner,True
01shreeram/wordpress,True,Detect_TeamRedMiner,True
01shreeram/node,True,Detect_TeamRedMiner,True
0211008/centos,True,Detect_TeamRedMiner,True
02061984/hello-world,True,Detect_TeamRedMiner,True
020608/java,True,Detect_TeamRedMiner,True
021498/tomcat,True,Detect_TeamRedMiner,True
021karthik/node,True,Detect_TeamRedMiner,True
022107206/jenkins,True,Detect_TeamRedMiner,True
022312/sonarqube,True,Detect_TeamRedMiner,True
02219290/python,True,Detect_TeamRedMiner,True
02786359/fluentd,True,"Detect_Minerd_Miner,Detect_TeamRedMiner",True
02d7f1078/mysql,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_NBMiner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer,Detect_sgminer",True
031702145/centos,True,Detect_TeamRedMiner,True
030902/ruby,True,Detect_TeamRedMiner,True
03031999/spark,True,Detect_TeamRedMiner,True
03193991/php,True,Detect_TeamRedMiner,True
03314839765/golang,True,Detect_TeamRedMiner,True
03314839765/python,True,Detect_TeamRedMiner,True
0345/jenkins,True,Detect_TeamRedMiner,True
0319/docker,True,Detect_TeamRedMiner,True
0349013639/postgres,True,Detect_TeamRedMiner,True
035747/eclipse-temurin,True,Detect_TeamRedMiner,True
041012/docker,True,Detect_TeamRedMiner,True
040898/python,True,Detect_TeamRedMiner,True
041988/tomcat,True,Detect_TeamRedMiner,True
05011984/openjdk,True,Detect_TeamRedMiner,True
041012/node,True,Detect_TeamRedMiner,True
05101993/centos,True,Detect_TeamRedMiner,True
05197324996/java,True,Detect_TeamRedMiner,True
060819962021/postgres,True,Detect_TeamRedMiner,True
060942/php,True,Detect_TeamRedMiner,True
0611426633/wordpress,True,Detect_TeamRedMiner,True
06475127/hello-world,True,Detect_TeamRedMiner,True
0612sha/zookeeper,True,Detect_TeamRedMiner,True
06623230322/redis,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer",True
0684/hello-world,True,Detect_TeamRedMiner,True
