image,yara_detected,detected_rules,is_cryptojacking
000indrajeet/alpine,False,,False
000390489/teamspeak,False,,False
000395778/teamspeak,False,,False
000n/python,False,,False
0001638601/mysql,False,,False
001100/debian,False,,False
000pf000/tomcat,False,,False
000zcl000/mysql,False,,False
001759/hello-world,False,,False
000wg000/python,True,Detect_TeamRedMiner,True
001691/ubuntu,False,,False
0012091965/registry,False,,False
001993/nginx,False,,False
0020651449/php,False,,False
0020651449/python,False,,False
004694/rabbitmq,False,,False
00313/postgres,True,Detect_TeamRedMiner,True
005704/hello-world,False,,False
0028e93734a9/hello-world,False,,False
0071306/wordpress,False,,False
00721dev/mysql,False,,False
005293/node,True,Detect_TeamRedMiner,True
007594/mariadb,False,,False
006969/mongo,False,,False
00721dev/python,True,Detect_TeamRedMiner,True
0079123/redis,False,,False
007luke/mysql,False,,False
007mhh/busybox,False,,False
007blavk007/mongo-express,False,,False
0077cc/node,True,Detect_TeamRedMiner,True
007kailan/postgres,True,Detect_TeamRedMiner,True
007mhh/elasticsearch,False,,False
007mhh/haproxy,False,,False
007mhh/registry,False,,False
007mhh/traefik,False,,False
0090031996/ubuntu,False,,False
00970/redis,False,,False
007mhh/node,False,,False
009satya/wordpress,False,,False
009782/debian,False,,False
00abhishek00/drupal,True,Detect_TeamRedMiner,True
007mhh/kibana,True,"Detect_Minerd_Miner,Detect_TeamRedMiner,Detect_bfgminer",True
00arthur00/traefik,False,,False
00aje00/centos,False,,False
00anupam00/spark,False,,False
00vinay/python,False,,False
00sun/centos,True,Detect_TeamRedMiner,True
00arthur00/kibana,False,,False
00bc4f5d/erlang,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_NBMiner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer,Detect_sgminer",True
00zi/haproxy,False,,False
00x56/node,False,,False
00zi/hello-world,False,,False
00x56/jenkins,True,Detect_TeamRedMiner,True
01007/busybox,False,,False
00zi/nginx,False,,False
010101010007/busybox,False,,False
010193/alpine,False,,False
0100085/httpd,False,,False
00zi/mariadb,False,,False
010193/elasticsearch,False,,False
010193/redis,False,,False
010193/rabbitmq,False,,False
01020majid/busybox,False,,False
010193/mongo,False,,False
010193/logstash,False,,False
010309/nginx,False,,False
01051994/postgres,True,Detect_TeamRedMiner,True
01064388186/redis,False,,False
01060329189/centos,False,,False
01068996835/haproxy,False,,False
010573/mariadb,False,,False
01111987/vault,False,,False
01086/mysql,False,,False
01141942205/redis,True,Detect_TeamRedMiner,True
011000010110010001101001/node,True,Detect_TeamRedMiner,True
0114mjp/httpd,True,Detect_TeamRedMiner,True
011205/tomcat,False,,False
011898/alpine,False,,False
0116736/mysql,False,,False
01232022/logstash,False,,False
0115392/phpmyadmin,False,,False
011982/php,True,Detect_TeamRedMiner,True
012345678aar90/redis,False,,False
0123koba/httpd,True,Detect_TeamRedMiner,True
01271434065/centos,True,Detect_TeamRedMiner,True
0123koba/wordpress,True,Detect_TeamRedMiner,True
